"ChineseName","ModelBase","ModelSource","IndexCount","IndexSources","ZipPath"
"漩涡鸣人 2","Naruto2","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Naruto2.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Naruto2.index",""
"漩涡鸣人 3","Naruto3","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Naruto3.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Naruto3.index",""
"宇智波带土","Obito","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Obito.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1060_Flat_nprobe_1_Obito_v2.index",""
"少年宇智波带土","Obito_kid","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Obito_kid.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1475_Flat_nprobe_1_Obito_kid_v2.index",""
"宇智波带土 1","Obito1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Obito1.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Obito1.index",""
"大蛇丸","Orochimaru","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Orochimaru.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF780_Flat_nprobe_1_Orochimaru_v2.index",""
"大筒木金式","Ōtsutsuki Kinshiki","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Ōtsutsuki Kinshiki.pth","1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Kinshiki.index",""
"佩恩","Pain","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Pain.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\pain.index",""
"野原琳","Rin","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Rin.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF754_Flat_nprobe_1_Rin_v2.index",""
"洛克李 1","RockLee (1)","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\RockLee (1).pth","0","",""
"洛克李","RockLee","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\RockLee.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1172_Flat_nprobe_1_RockLee_v2.index",""
"佐井","Sai","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sai.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF927_Flat_nprobe_1_Sai_v2.index",""
"春野樱","Sakura","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sakura.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1390_Flat_nprobe_1_Sakura_v2.index",""
"宇智波佐良娜","Sarada","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sarada.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Sarada.index",""
"赤砂之蝎","Sasori","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sasori.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Sasori.index",""
"宇智波佐助","Sasuke","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sasuke.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Sasuke.index",""
"少年宇智波佐助","Sasuke_kid","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Sasuke_kid.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF1386_Flat_nprobe_1_Sasuke_kid_v2.index",""
"奈良鹿丸 Nara版","Shikamaru Nara","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Shikamaru Nara.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Shikamaru Nara.index",""
"奈良鹿丸","Shikamaru","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Shikamaru.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Shikamaru.index",""
"宇智波止水","Shisui","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Shisui.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF217_Flat_nprobe_1_Shisui_v2.index",""
"鬼灯水月","Suigetsu","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Suigetsu.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF222_Flat_nprobe_1_Suigetsu_v2.index",""
"阿飞","Tobi","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Tobi.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF504_Flat_nprobe_1_Tobi_v2.index",""
"千手扉间","Tobirama","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Tobirama.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Tobirama.index",""
"少年千手扉间","Tobirama_kid","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Tobirama_kid.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Tobirama_kid.index",""
"大筒木舍人","Toneri","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Toneri.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF82_Flat_nprobe_1_Toneri_v2.index",""
"纲手","Tsunade","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Tsunade.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF730_Flat_nprobe_1_Tsunade_v2.index",""
"纲手 V1","Tsunade_V1","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Tsunade_V1.pth","0","",""
"王也","wangye","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\wangye.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF698_Flat_nprobe_1_wangye_v2.index",""
"大和","Yamato","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Yamato.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF403_Flat_nprobe_1_Yamato_v2.index",""
"未命名模型 youzhanv2-xi","youzhanv2-xi","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\youzhanv2-xi.pth","0","",""
"桃地再不斩","Zabuza","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\Zabuza.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\Zabuza.index",""
"诸葛青","zhugeqing","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\zhugeqing.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\added_IVF297_Flat_nprobe_1_zhugeqing_v2.index",""
"迪达拉","迪达拉","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\迪达拉.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\迪达拉.index",""
"少年千手扉间 中文版","扉间小","D:\ProgramData\svc\RVC1006Nvidia\assets\weights\扉间小.pth","1","D:\ProgramData\svc\RVC1006Nvidia\logs\扉间小.index",""
